ID marca;pais de origem;Ano de origem;Tipo de produto
1;Brasil;1922;Produtos agriculturas
2;brasil;1950;Paes
3;brasil;1885;Bebidas
4;Eua;1905;Molhos
5;Brasil;1944;aves, carnes suínas, frios, hambúrgueres, empanados, pizzas, pratos prontos, margarinas
6;brasil;1956;aves, carnes suínas, frios, hambúrgueres, empanados, pizzas, pratos prontos, margarinas
7;brasil;1959;"Produtos Artesanais e ""Delícias no Pote"""
8;brasil;1969;aves, carnes suínas, frios, hambúrgueres, empanados, pizzas, pratos prontos, margarinas
9;brasil;1885;Bebidas
10;brasil;1885;limpeza
11;Inglaterra;1885;Limpeza
12;brasil;1887;Massas
